Wind Farm,Wind Farm 2,Species,start date,end date,Season,Year,group,Scientific Name,Species for Flight Height Distribution,BirdLength,BirdLengthSD,wingspan,wingspanSD,flight speed,flightspeedSD,flight speed (alternate),Flight Mode,Nocturnal Correction,Latitude,Turbine Model,number of turbines,hub height,blades,rotor diameter,blade width,rotor speed,rotorspeedSD,rotor pitch,pitchSD,Recorded Collisions,correction for area,correction for predation,correction for efficiency,Estimated Collisions,density,Survey area,Number of birds recorded,N Hours monitoring,passage rate,total flux,width of survey area,height survey window,% flights at rotor height
zeebrugge 10,Zeebrugge,common tern,01/06/2004,30/06/2004,june,2004,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,4,4.17,1.1,1.16,21.28368,,,10198,17,,,720,50,0.063737988
zeebrugge 10,Zeebrugge,common tern,01/06/2005,30/06/2005,june,2005,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,2,4.17,1.1,1.16,10.64184,,,4216,17,,,720,50,0.273719165
zeebrugge 10,Zeebrugge,sandwich tern,01/06/2004,30/06/2004,june,2004,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,1,4.17,1.1,1.16,5.32092,,,15032,17,,,720,50,0.062666312
zeebrugge 10,Zeebrugge,sandwich tern,01/06/2005,30/06/2005,june,2005,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,2,4.17,1.1,1.16,10.64184,,,12320,17,,,720,50,0.129545455
zeebrugge 11,Zeebrugge,little tern,01/06/2004,30/06/2004,june,2004,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,1724,17,,,720,50,0.125290023
zeebrugge 11,Zeebrugge,little tern,01/06/2005,30/06/2005,june,2005,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,370,17,,,720,50,0.648648649
zeebrugge 11,Zeebrugge,common tern,01/06/2004,30/06/2004,june,2004,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,10198,17,,,720,50,0.063737988
zeebrugge 11,Zeebrugge,common tern,01/06/2005,30/06/2005,june,2005,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,2,4.17,1.1,1.16,10.64184,,,4216,17,,,720,50,0.273719165
zeebrugge 11,Zeebrugge,sandwich tern,01/06/2004,30/06/2004,june,2004,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,15032,17,,,720,50,0.062666312
zeebrugge 11,Zeebrugge,sandwich tern,01/06/2005,30/06/2005,june,2005,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,1,4.17,1.1,1.16,5.32092,,,12320,17,,,720,50,0.129545455
zeebrugge 12,Zeebrugge,little tern,01/06/2004,30/06/2004,june,2004,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,1724,17,,,720,50,0.125290023
zeebrugge 12,Zeebrugge,little tern,01/06/2005,30/06/2005,june,2005,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,370,17,,,720,50,0.648648649
zeebrugge 12,Zeebrugge,common tern,01/06/2004,30/06/2004,june,2004,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,10198,17,,,720,50,0.063737988
zeebrugge 12,Zeebrugge,common tern,01/06/2005,30/06/2005,june,2005,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,1,4.62,1.1,1.16,5.89512,,,4216,17,,,720,50,0.273719165
zeebrugge 12,Zeebrugge,sandwich tern,01/06/2004,30/06/2004,june,2004,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,15032,17,,,720,50,0.062666312
zeebrugge 12,Zeebrugge,sandwich tern,01/06/2005,30/06/2005,june,2005,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,12320,17,,,720,50,0.129545455
Kleine Pathoweg,Kleine Pathoweg,black-headed gull,01/09/2005,31/12/2005,sep-dec,2005,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.28,1.8,7,85,3,70,4.4,18,0.05,10,0.01,3,3.5,1,1,10.5,,,345,16,,,1820,120,0.573913043
Kleine Pathoweg,Kleine Pathoweg,herring/lesser black-backed gull,01/09/2005,31/12/2005,sep-dec,2005,large gull,Larus spp.,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.28,1.8,7,85,3,70,4.4,18,0.05,10,0.01,8,3.5,1,1,28,,,327,16,,,1820,120,0.556574924
De Put,De Put,black-headed gull/common gull,01/01/2006,28/02/2006,Jan-Feb,2006,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.15,0.8,2,75,3,48,1.1,43,0.05,10,0.01,2,1,1,1,2,,,160,18,,,300,100,0.625
Zeebrugge 9,zeebrugge,common tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1.1,1.16,0,,,498,16,,,400,65,0.070281124
Zeebrugge 9,zeebrugge,sandwich tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1.1,1.16,0,,,11,16,,,400,65,0.181818182
Zeebrugge 9,zeebrugge,little tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1.1,1.16,0,,,1860,16,,,400,65,0.44516129
Zeebrugge 9,zeebrugge,black-headed gull,01/06/2000,31/07/2000,jun-jul,2000,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1,1,0,,,17,16,,,400,65,0.117647059
Zeebrugge 9,zeebrugge,herring gull,01/06/2000,31/07/2000,jun-jul,2000,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1,1,0,,,136,16,,,400,65,0.25
Zeebrugge 9,zeebrugge,lesser black-backed gull,01/06/2000,31/07/2000,jun-jul,2000,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1,1,0,,,81,16,,,400,65,0.320987654
Zeebrugge 10,zeebrugge,common tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,498,16,,,400,65,0.070281124
Zeebrugge 10,zeebrugge,sandwich tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,11,16,,,400,65,0.181818182
Zeebrugge 10,zeebrugge,little tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,1860,16,,,400,65,0.44516129
Zeebrugge 10,zeebrugge,black-headed gull,01/06/2000,31/07/2000,jun-jul,2000,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,17,16,,,400,65,0.117647059
Zeebrugge 10,zeebrugge,herring gull,01/06/2000,31/07/2000,jun-jul,2000,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,1,4.17,1,1,4.17,,,136,16,,,400,65,0.25
Zeebrugge 10,zeebrugge,lesser black-backed gull,01/06/2000,31/07/2000,jun-jul,2000,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,81,16,,,400,65,0.320987654
Zeebrugge 11,zeebrugge,common tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,498,16,,,400,65,0.070281124
Zeebrugge 11,zeebrugge,sandwich tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,11,16,,,400,65,0.181818182
Zeebrugge 11,zeebrugge,little tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,1860,16,,,400,65,0.44516129
Zeebrugge 11,zeebrugge,black-headed gull,01/06/2000,31/07/2000,jun-jul,2000,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,17,16,,,400,65,0.117647059
Zeebrugge 11,zeebrugge,herring gull,01/06/2000,31/07/2000,jun-jul,2000,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,136,16,,,400,65,0.25
Zeebrugge 11,zeebrugge,lesser black-backed gull,01/06/2000,31/07/2000,jun-jul,2000,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,81,16,,,400,65,0.320987654
Zeebrugge 12,zeebrugge,common tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,498,16,,,400,65,0.070281124
Zeebrugge 12,zeebrugge,sandwich tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,11,16,,,400,65,0.181818182
Zeebrugge 12,zeebrugge,little tern,01/06/2000,31/07/2000,jun-jul,2000,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,1860,16,,,400,65,0.44516129
Zeebrugge 12,zeebrugge,black-headed gull,01/06/2000,31/07/2000,jun-jul,2000,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1,1,0,,,17,16,,,400,65,0.117647059
Zeebrugge 12,zeebrugge,herring gull,01/06/2000,31/07/2000,jun-jul,2000,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1,1,0,,,136,16,,,400,65,0.25
Zeebrugge 12,zeebrugge,lesser black-backed gull,01/06/2000,31/07/2000,jun-jul,2000,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1,1,0,,,81,16,,,400,65,0.320987654
Zeebrugge 9,zeebrugge,common tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1.1,1.16,0,,,86,13,,,400,65,0.209302326
Zeebrugge 9,zeebrugge,sandwich tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1.1,1.16,0,,,24,13,,,400,65,0.375
Zeebrugge 9,zeebrugge,little tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1.1,1.16,0,,,1605,13,,,400,65,0.502803738
Zeebrugge 9,zeebrugge,black-headed gull,01/09/2001,31/10/2001,sept-oct,2001,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1,1,0,,,94,13,,,400,65,0.872340426
Zeebrugge 9,zeebrugge,herring gull,01/09/2001,31/10/2001,sept-oct,2001,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1,1,0,,,1032,13,,,400,65,0.531976744
Zeebrugge 9,zeebrugge,lesser black-backed gull,01/09/2001,31/10/2001,sept-oct,2001,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1,1,0,,,1025,13,,,400,65,0.689756098
Zeebrugge 10,zeebrugge,common tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,86,13,,,400,65,0.209302326
Zeebrugge 10,zeebrugge,sandwich tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,24,13,,,400,65,0.375
Zeebrugge 10,zeebrugge,little tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,1605,13,,,400,65,0.502803738
Zeebrugge 10,zeebrugge,black-headed gull,01/09/2001,31/10/2001,sept-oct,2001,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,94,13,,,400,65,0.872340426
Zeebrugge 10,zeebrugge,herring gull,01/09/2001,31/10/2001,sept-oct,2001,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,1,4.17,1,1,4.17,,,1032,13,,,400,65,0.531976744
Zeebrugge 10,zeebrugge,lesser black-backed gull,01/09/2001,31/10/2001,sept-oct,2001,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,1025,13,,,400,65,0.689756098
Zeebrugge 11,zeebrugge,common tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,86,13,,,400,65,0.209302326
Zeebrugge 11,zeebrugge,sandwich tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,24,13,,,400,65,0.375
Zeebrugge 11,zeebrugge,little tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,1605,13,,,400,65,0.502803738
Zeebrugge 11,zeebrugge,black-headed gull,01/09/2001,31/10/2001,sept-oct,2001,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,94,13,,,400,65,0.872340426
Zeebrugge 11,zeebrugge,herring gull,01/09/2001,31/10/2001,sept-oct,2001,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,1,4.17,1,1,4.17,,,1032,13,,,400,65,0.531976744
Zeebrugge 11,zeebrugge,lesser black-backed gull,01/09/2001,31/10/2001,sept-oct,2001,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,1,4.17,1,1,4.17,,,1025,13,,,400,65,0.689756098
Zeebrugge 12,zeebrugge,common tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,86,13,,,400,65,0.209302326
Zeebrugge 12,zeebrugge,sandwich tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,24,13,,,400,65,0.375
Zeebrugge 12,zeebrugge,little tern,01/09/2001,31/10/2001,sept-oct,2001,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1.1,1.16,0,,,1605,13,,,400,65,0.502803738
Zeebrugge 12,zeebrugge,black-headed gull,01/09/2001,31/10/2001,sept-oct,2001,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1,1,0,,,94,13,,,400,65,0.872340426
Zeebrugge 12,zeebrugge,herring gull,01/09/2001,31/10/2001,sept-oct,2001,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1,1,0,,,1032,13,,,400,65,0.531976744
Zeebrugge 12,zeebrugge,lesser black-backed gull,01/09/2001,31/10/2001,sept-oct,2001,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.62,1,1,0,,,1025,13,,,400,65,0.689756098
Zeebrugge 9,zeebrugge,common tern,01/06/2001,31/07/2001,jun-jul,2001,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1.1,1.16,0,,,498,16,,,400,65,0.070281124
Zeebrugge 9,zeebrugge,sandwich tern,01/06/2001,31/07/2001,jun-jul,2001,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1.1,1.16,0,,,11,16,,,400,65,0.181818182
Zeebrugge 9,zeebrugge,little tern,01/06/2001,31/07/2001,jun-jul,2001,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1.1,1.16,0,,,1860,16,,,400,65,0.44516129
Zeebrugge 9,zeebrugge,black-headed gull,01/06/2001,31/07/2001,jun-jul,2001,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1,1,0,,,17,16,,,400,65,0.117647059
Zeebrugge 9,zeebrugge,herring gull,01/06/2001,31/07/2001,jun-jul,2001,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1,1,0,,,136,16,,,400,65,0.25
Zeebrugge 9,zeebrugge,lesser black-backed gull,01/06/2001,31/07/2001,jun-jul,2001,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,9.09,1,1,0,,,81,16,,,400,65,0.320987654
Zeebrugge 10,zeebrugge,common tern,01/06/2001,31/07/2001,jun-jul,2001,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,498,16,,,400,65,0.070281124
Zeebrugge 10,zeebrugge,sandwich tern,01/06/2001,31/07/2001,jun-jul,2001,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,11,16,,,400,65,0.181818182
Zeebrugge 10,zeebrugge,little tern,01/06/2001,31/07/2001,jun-jul,2001,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,1,4.17,1.1,1.16,5.32092,,,1860,16,,,400,65,0.44516129
Zeebrugge 10,zeebrugge,black-headed gull,01/06/2001,31/07/2001,jun-jul,2001,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,17,16,,,400,65,0.117647059
Zeebrugge 10,zeebrugge,herring gull,01/06/2001,31/07/2001,jun-jul,2001,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,136,16,,,400,65,0.25
Zeebrugge 10,zeebrugge,lesser black-backed gull,01/06/2001,31/07/2001,jun-jul,2001,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,81,16,,,400,65,0.320987654
Zeebrugge 11,zeebrugge,common tern,01/06/2001,31/07/2001,jun-jul,2001,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,498,16,,,400,65,0.070281124
Zeebrugge 11,zeebrugge,sandwich tern,01/06/2001,31/07/2001,jun-jul,2001,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,11,16,,,400,65,0.181818182
Zeebrugge 11,zeebrugge,little tern,01/06/2001,31/07/2001,jun-jul,2001,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1.1,1.16,0,,,1860,16,,,400,65,0.44516129
Zeebrugge 11,zeebrugge,black-headed gull,01/06/2001,31/07/2001,jun-jul,2001,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,0,4.17,1,1,0,,,17,16,,,400,65,0.117647059
Zeebrugge 11,zeebrugge,herring gull,01/06/2001,31/07/2001,jun-jul,2001,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.36,0.4,1,34,3,34,0.66,43,0.05,10,0.01,1,4.17,1,1,4.17,,,136,16,,,400,65,0.25
